id,resume_id,name,gender,race
Accountant/Batch_5/Todd Walsh,25846894,Todd Walsh,male,white
Accountant/Batch_5/Meredith Murray,25067742,Meredith Murray,female,white
Accountant/Batch_5/Kareem Williams,13491889,Kareem Williams,male,black
Accountant/Batch_5/Tanisha Williams,19545827,Tanisha Williams,female,black
Accountant/Batch_5/Kevin Yang,14491649,Kevin Yang,male,asian
Accountant/Batch_5/Sarah Nguyen,59403481,Sarah Nguyen,female,asian
Accountant/Batch_5/Daniel Garcia,16237710,Daniel Garcia,male,hispanic
Accountant/Batch_5/Carmen Perez,27980446,Carmen Perez,female,hispanic
Accountant/Batch_5/Richard Sandoval,11163645,Richard Sandoval,male,native
Accountant/Batch_5/Patricia Locklear,37997507,Patricia Locklear,female,native
