id,resume_id,name,gender,race
Accountant/Batch_0/Greg McCarthy,18365791,Greg McCarthy,male,white
Accountant/Batch_0/Jill Sullivan,13130984,Jill Sullivan,female,white
Accountant/Batch_0/Kareem Washington,11163645,Kareem Washington,male,black
Accountant/Batch_0/Kenya Jones,17407184,Kenya Jones,female,black
Accountant/Batch_0/James Nguyen,25462793,James Nguyen,male,asian
Accountant/Batch_0/Grace Kim,21794875,Grace Kim,female,asian
Accountant/Batch_0/Jesus Gonzalez,30813919,Jesus Gonzalez,male,hispanic
Accountant/Batch_0/Carmen Hernandez,30361788,Carmen Hernandez,female,hispanic
Accountant/Batch_0/John Locklear,13294301,John Locklear,male,native
Accountant/Batch_0/Michelle Nez,21031285,Michelle Nez,female,native
Accountant/Batch_1/Todd Walsh,21338490,Todd Walsh,male,white
Accountant/Batch_1/Carrie Sullivan,63137898,Carrie Sullivan,female,white
Accountant/Batch_1/Hakim Jackson,12442909,Hakim Jackson,male,black
Accountant/Batch_1/Tamika Jones,12338274,Tamika Jones,female,black
Accountant/Batch_1/Daniel Lee,19545827,Daniel Lee,male,asian
Accountant/Batch_1/Elizabeth Nguyen,23139819,Elizabeth Nguyen,female,asian
Accountant/Batch_1/Jesus Rodriguez,16237710,Jesus Rodriguez,male,hispanic
Accountant/Batch_1/Martha Rodriguez,30361788,Martha Rodriguez,female,hispanic
Accountant/Batch_1/Christopher Tsosie,23734441,Christopher Tsosie,male,native
Accountant/Batch_1/Linda Sandoval,25846894,Linda Sandoval,female,native
Accountant/Batch_2/Brendan Walsh,21794875,Brendan Walsh,male,white
Accountant/Batch_2/Jill Walsh,13294301,Jill Walsh,female,white
Accountant/Batch_2/Jamal Jackson,43685045,Jamal Jackson,male,black
Accountant/Batch_2/Aisha Robinson,15821633,Aisha Robinson,female,black
Accountant/Batch_2/James Nguyen,25749150,James Nguyen,male,asian
Accountant/Batch_2/Amy Yang,21338490,Amy Yang,female,asian
Accountant/Batch_2/Miguel Ramirez,12442909,Miguel Ramirez,male,hispanic
Accountant/Batch_2/Martha Lopez,23636277,Martha Lopez,female,hispanic
Accountant/Batch_2/Christopher Chee,14224370,Christopher Chee,male,native
Accountant/Batch_2/Michelle Sandoval,13130984,Michelle Sandoval,female,native
Accountant/Batch_3/Jay Sullivan,25749150,Jay Sullivan,male,white
Accountant/Batch_3/Jill O’Brien,12442909,Jill O’Brien,female,white
Accountant/Batch_3/Jermaine Jones,42487883,Jermaine Jones,male,black
Accountant/Batch_3/Kenya Williams,43685045,Kenya Williams,female,black
Accountant/Batch_3/John Li,15906625,John Li,male,asian
Accountant/Batch_3/Jennifer Nguyen,21794875,Jennifer Nguyen,female,asian
Accountant/Batch_3/Jose Lopez,12338274,Jose Lopez,male,hispanic
Accountant/Batch_3/Elizabeth Hernandez,21031285,Elizabeth Hernandez,female,hispanic
Accountant/Batch_3/James Benally,37997506,James Benally,male,native
Accountant/Batch_3/Elizabeth Locklear,25067742,Elizabeth Locklear,female,native
Accountant/Batch_4/Neil Sullivan,21338490,Neil Sullivan,male,white
Accountant/Batch_4/Anne Ryan,27980446,Anne Ryan,female,white
Accountant/Batch_4/Jermaine Washington,59403481,Jermaine Washington,male,black
Accountant/Batch_4/Aisha Robinson,13294301,Aisha Robinson,female,black
Accountant/Batch_4/James Tran,15906625,James Tran,male,asian
Accountant/Batch_4/Sarah Tran,12338274,Sarah Tran,female,asian
