id,resume_id,name,gender,race
Apparel/Batch_13/Brad Baker,27099856,Brad Baker,male,white
Apparel/Batch_13/Emily Baker,13807808,Emily Baker,female,white
Apparel/Batch_13/Leroy Robinson,46514339,Leroy Robinson,male,black
Apparel/Batch_13/Aisha Jones,14698557,Aisha Jones,female,black
Apparel/Batch_13/Michael Yang,12860543,Michael Yang,male,asian
Apparel/Batch_13/Jennifer Li,21007083,Jennifer Li,female,asian
Apparel/Batch_13/David Rodriguez,28998957,David Rodriguez,male,hispanic
Apparel/Batch_13/Maria Rodriguez,13386301,Maria Rodriguez,female,hispanic
Apparel/Batch_13/John Yazzie,99806115,John Yazzie,male,native
Apparel/Batch_13/Jessica Begay,29521434,Jessica Begay,female,native
