id,resume_id,name,gender,race
Apparel/Batch_0/Todd Ryan,15479281,Todd Ryan,male,white
Apparel/Batch_0/Kristen Ryan,21807211,Kristen Ryan,female,white
Apparel/Batch_0/Rasheed Robinson,31225895,Rasheed Robinson,male,black
Apparel/Batch_0/Keisha Robinson,17714174,Keisha Robinson,female,black
Apparel/Batch_0/Kevin Yang,15535408,Kevin Yang,male,asian
Apparel/Batch_0/Jessica Chen,12669075,Jessica Chen,female,asian
Apparel/Batch_0/Daniel Perez,50324968,Daniel Perez,male,hispanic
Apparel/Batch_0/Jessica Gonzalez,19070271,Jessica Gonzalez,female,hispanic
Apparel/Batch_0/Christopher Locklear,46514339,Christopher Locklear,male,native
Apparel/Batch_0/Linda Chee,99806115,Linda Chee,female,native
Apparel/Batch_1/Brendan Walsh,11677077,Brendan Walsh,male,white
Apparel/Batch_1/Emily Baker,17714174,Emily Baker,female,white
Apparel/Batch_1/Darnell Jones,46514339,Darnell Jones,male,black
Apparel/Batch_1/Tanisha Jackson,15479281,Tanisha Jackson,female,black
Apparel/Batch_1/James Nguyen,31225895,James Nguyen,male,asian
Apparel/Batch_1/Jessica Wang,50324968,Jessica Wang,female,asian
Apparel/Batch_1/Juan Ramirez,56151548,Juan Ramirez,male,hispanic
Apparel/Batch_1/Martha Perez,29640922,Martha Perez,female,hispanic
Apparel/Batch_1/Joseph Nez,15535408,Joseph Nez,male,native
Apparel/Batch_1/Patricia Begay,11232471,Patricia Begay,female,native
Apparel/Batch_2/Geoffrey Walsh,29521434,Geoffrey Walsh,male,white
Apparel/Batch_2/Emily O’Brien,31225895,Emily O’Brien,female,white
Apparel/Batch_2/Darnell Robinson,11677077,Darnell Robinson,male,black
Apparel/Batch_2/Kenya Jones,35121930,Kenya Jones,female,black
Apparel/Batch_2/David Li,12668625,David Li,male,asian
Apparel/Batch_2/Amy Chen,23719943,Amy Chen,female,asian
Apparel/Batch_2/Jose Perez,13807808,Jose Perez,male,hispanic
Apparel/Batch_2/Carmen Martinez,21007083,Carmen Martinez,female,hispanic
Apparel/Batch_2/Robert Begay,27549075,Robert Begay,male,native
Apparel/Batch_2/Jennifer Begay,29764492,Jennifer Begay,female,native
Apparel/Batch_3/Neil Murphy,27549075,Neil Murphy,male,white
Apparel/Batch_3/Kristen McCarthy,11677077,Kristen McCarthy,female,white
Apparel/Batch_3/Jermaine Jones,24533931,Jermaine Jones,male,black
Apparel/Batch_3/Kenya Jones,31225895,Kenya Jones,female,black
Apparel/Batch_3/Kevin Chen,23719943,Kevin Chen,male,asian
Apparel/Batch_3/Sarah Chen,21807211,Sarah Chen,female,asian
Apparel/Batch_3/Luis Gonzalez,10182582,Luis Gonzalez,male,hispanic
Apparel/Batch_3/Rosa Gonzalez,26046878,Rosa Gonzalez,female,hispanic
Apparel/Batch_3/Christopher Nez,26691587,Christopher Nez,male,native
Apparel/Batch_3/Lisa Locklear,46514339,Lisa Locklear,female,native
Apparel/Batch_4/Geoffrey Sullivan,21007083,Geoffrey Sullivan,male,white
Apparel/Batch_4/Sarah O’Brien,46514339,Sarah O’Brien,female,white
Apparel/Batch_4/Tyrone Washington,28998957,Tyrone Washington,male,black
Apparel/Batch_4/Lakisha Jones,19070271,Lakisha Jones,female,black
Apparel/Batch_4/Kevin Nguyen,72807293,Kevin Nguyen,male,asian
Apparel/Batch_4/Grace Le,15154822,Grace Le,female,asian
Apparel/Batch_4/Jorge Hernandez,10182582,Jorge Hernandez,male,hispanic
Apparel/Batch_4/Elizabeth Hernandez,99806115,Elizabeth Hernandez,female,hispanic
Apparel/Batch_4/Robert Tsosie,20905088,Robert Tsosie,male,native
Apparel/Batch_4/Jennifer Begay,11409460,Jennifer Begay,female,native
Apparel/Batch_5/Neil Baker,28998957,Neil Baker,male,white
Apparel/Batch_5/Anne O’Brien,19070271,Anne O’Brien,female,white
Apparel/Batch_5/Kareem Williams,46514339,Kareem Williams,male,black
Apparel/Batch_5/Tamika Washington,26046878,Tamika Washington,female,black
