id,resume_id,name,gender,race
Banking/Batch_13/Neil Walsh,19149865,Neil Walsh,male,white
Banking/Batch_13/Kristen Sullivan,21297521,Kristen Sullivan,female,white
Banking/Batch_13/Hakim Jackson,74552449,Hakim Jackson,male,black
Banking/Batch_13/Latonya Williams,13982572,Latonya Williams,female,black
Banking/Batch_13/John Chen,13393401,John Chen,male,asian
Banking/Batch_13/Michelle Tran,39247950,Michelle Tran,female,asian
Banking/Batch_13/David Martinez,38897568,David Martinez,male,hispanic
Banking/Batch_13/Rosa Sanchez,36302399,Rosa Sanchez,female,hispanic
Banking/Batch_13/Richard Tsosie,29552167,Richard Tsosie,male,native
Banking/Batch_13/Mary Begay,26987539,Mary Begay,female,native
