id,resume_id,name,gender,race
Banking/Batch_0/Jay O’Brien,77156708,Jay O’Brien,male,white
Banking/Batch_0/Emily Kelly,71422121,Emily Kelly,female,white
Banking/Batch_0/Tremayne Washington,21645690,Tremayne Washington,male,black
Banking/Batch_0/Latoya Robinson,12021752,Latoya Robinson,female,black
Banking/Batch_0/Jason Tran,13982572,Jason Tran,male,asian
Banking/Batch_0/Grace Li,33286293,Grace Li,female,asian
Banking/Batch_0/Daniel Garcia,2841992,Daniel Garcia,male,hispanic
Banking/Batch_0/Sandra Martinez,18457785,Sandra Martinez,female,hispanic
Banking/Batch_0/Richard Tsosie,87867370,Richard Tsosie,male,native
Banking/Batch_0/Mary Benally,21297521,Mary Benally,female,native
Banking/Batch_1/Matthew Murray,30713796,Matthew Murray,male,white
Banking/Batch_1/Jill Walsh,22615491,Jill Walsh,female,white
Banking/Batch_1/Jamal Robinson,70667011,Jamal Robinson,male,black
Banking/Batch_1/Lakisha Williams,26987539,Lakisha Williams,female,black
Banking/Batch_1/James Lee,2841992,James Lee,male,asian
Banking/Batch_1/Elizabeth Le,29839396,Elizabeth Le,female,asian
Banking/Batch_1/Luis Lopez,54421668,Luis Lopez,male,hispanic
Banking/Batch_1/Ana Gonzalez,34185495,Ana Gonzalez,female,hispanic
Banking/Batch_1/Christopher Oxendine,3547447,Christopher Oxendine,male,native
Banking/Batch_1/Michelle Oxendine,21856577,Michelle Oxendine,female,native
Banking/Batch_2/Jay Murray,27120528,Jay Murray,male,white
Banking/Batch_2/Laurie Murray,2841992,Laurie Murray,female,white
Banking/Batch_2/Jamal Jones,35483925,Jamal Jones,male,black
Banking/Batch_2/Kenya Williams,19920687,Kenya Williams,female,black
Banking/Batch_2/James Nguyen,30713796,James Nguyen,male,asian
Banking/Batch_2/Jessica Chen,21645690,Jessica Chen,female,asian
Banking/Batch_2/Jose Ramirez,11065180,Jose Ramirez,male,hispanic
Banking/Batch_2/Maria Perez,29093426,Maria Perez,female,hispanic
Banking/Batch_2/Richard Nez,17276884,Richard Nez,male,native
Banking/Batch_2/Jennifer Nez,25780596,Jennifer Nez,female,native
Banking/Batch_3/Neil Murray,30127072,Neil Murray,male,white
Banking/Batch_3/Allison Walsh,13393401,Allison Walsh,female,white
Banking/Batch_3/Tyrone Washington,29839396,Tyrone Washington,male,black
Banking/Batch_3/Tanisha Jackson,26579709,Tanisha Jackson,female,black
Banking/Batch_3/Michael Kim,22615491,Michael Kim,male,asian
Banking/Batch_3/Jennifer Kim,27120528,Jennifer Kim,female,asian
