id,resume_id,name,gender,race
Finance/Batch_0/Brad Walsh,24411323,Brad Walsh,male,white
Finance/Batch_0/Jill O’Brien,18640927,Jill O’Brien,female,white
Finance/Batch_0/Kareem Jackson,20836112,Kareem Jackson,male,black
Finance/Batch_0/Ebony Washington,81677620,Ebony Washington,female,black
Finance/Batch_0/James Le,26767199,James Le,male,asian
Finance/Batch_0/Grace Chen,20705888,Grace Chen,female,asian
Finance/Batch_0/Jose Hernandez,17775916,Jose Hernandez,male,hispanic
Finance/Batch_0/Maria Ramirez,37931076,Maria Ramirez,female,hispanic
Finance/Batch_0/Christopher Tsosie,27018361,Christopher Tsosie,male,native
Finance/Batch_0/Jennifer Locklear,57088974,Jennifer Locklear,female,native
Finance/Batch_1/Matthew Walsh,62850928,Matthew Walsh,male,white
Finance/Batch_1/Allison Kelly,92524964,Allison Kelly,female,white
Finance/Batch_1/Rasheed Washington,22622351,Rasheed Washington,male,black
Finance/Batch_1/Tanisha Jackson,28522529,Tanisha Jackson,female,black
Finance/Batch_1/Michael Chen,28398216,Michael Chen,male,asian
Finance/Batch_1/Michelle Yang,15891494,Michelle Yang,female,asian
Finance/Batch_1/Carlos Ramirez,24854026,Carlos Ramirez,male,hispanic
Finance/Batch_1/Carmen Rodriguez,33685988,Carmen Rodriguez,female,hispanic
Finance/Batch_1/David Chee,28758002,David Chee,male,native
Finance/Batch_1/Jennifer Nez,11490673,Jennifer Nez,female,native
Finance/Batch_2/Greg Baker,28398216,Greg Baker,male,white
Finance/Batch_2/Allison O’Brien,62850928,Allison O’Brien,female,white
Finance/Batch_2/Rasheed Williams,59938965,Rasheed Williams,male,black
Finance/Batch_2/Ebony Robinson,19147603,Ebony Robinson,female,black
Finance/Batch_2/John Lee,92524964,John Lee,male,asian
Finance/Batch_2/Grace Kim,25497147,Grace Kim,female,asian
Finance/Batch_2/Daniel Martinez,34250007,Daniel Martinez,male,hispanic
Finance/Batch_2/Maria Hernandez,24530382,Maria Hernandez,female,hispanic
Finance/Batch_2/John Yazzie,27914096,John Yazzie,male,native
Finance/Batch_2/Lisa Locklear,14413148,Lisa Locklear,female,native
Finance/Batch_3/Brad Murphy,74849878,Brad Murphy,male,white
Finance/Batch_3/Jill Sullivan,25497147,Jill Sullivan,female,white
Finance/Batch_3/Jermaine Williams,17775916,Jermaine Williams,male,black
Finance/Batch_3/Tanisha Jones,91564103,Tanisha Jones,female,black
Finance/Batch_3/Andrew Yang,31948488,Andrew Yang,male,asian
Finance/Batch_3/Sarah Li,14413148,Sarah Li,female,asian
Finance/Batch_3/Luis Hernandez,81677620,Luis Hernandez,male,hispanic
Finance/Batch_3/Jennifer Gonzalez,24530382,Jennifer Gonzalez,female,hispanic
Finance/Batch_3/Richard Tsosie,78229715,Richard Tsosie,male,native
Finance/Batch_3/Mary Tsosie,20836112,Mary Tsosie,female,native
Finance/Batch_4/Matthew Murphy,23955183,Matthew Murphy,male,white
Finance/Batch_4/Laurie O’Brien,14413148,Laurie O’Brien,female,white
Finance/Batch_4/Tyrone Williams,15891494,Tyrone Williams,male,black
Finance/Batch_4/Aisha Jackson,20705888,Aisha Jackson,female,black
Finance/Batch_4/David Chen,28398216,David Chen,male,asian
Finance/Batch_4/Elizabeth Lee,74849878,Elizabeth Lee,female,asian
Finance/Batch_4/Jesus Hernandez,24530382,Jesus Hernandez,male,hispanic
Finance/Batch_4/Martha Perez,25497147,Martha Perez,female,hispanic
Finance/Batch_4/David Begay,28522529,David Begay,male,native
Finance/Batch_4/Michelle Locklear,31948488,Michelle Locklear,female,native
Finance/Batch_5/Brendan O’Brien,26530575,Brendan O’Brien,male,white
Finance/Batch_5/Allison O’Brien,26961846,Allison O’Brien,female,white
Finance/Batch_5/Kareem Washington,62850928,Kareem Washington,male,black
Finance/Batch_5/Latonya Jones,28522529,Latonya Jones,female,black
Finance/Batch_5/Jason Le,18640927,Jason Le,male,asian
Finance/Batch_5/Michelle Yang,33685988,Michelle Yang,female,asian
Finance/Batch_5/Miguel Garcia,11877150,Miguel Garcia,male,hispanic
Finance/Batch_5/Maria Lopez,20705888,Maria Lopez,female,hispanic
Finance/Batch_5/Christopher Yazzie,16426777,Christopher Yazzie,male,native
Finance/Batch_5/Jennifer Begay,91564103,Jennifer Begay,female,native
Finance/Batch_6/Jay Baker,48285304,Jay Baker,male,white
Finance/Batch_6/Anne O’Brien,74849878,Anne O’Brien,female,white
Finance/Batch_6/Jamal Jackson,28758002,Jamal Jackson,male,black
Finance/Batch_6/Tamika Washington,16426777,Tamika Washington,female,black
Finance/Batch_6/Jason Li,62850928,Jason Li,male,asian
Finance/Batch_6/Grace Li,59938965,Grace Li,female,asian
Finance/Batch_6/Juan Garcia,84356308,Juan Garcia,male,hispanic
Finance/Batch_6/Maria Lopez,11877150,Maria Lopez,female,hispanic
Finance/Batch_6/Michael Chee,26231609,Michael Chee,male,native
Finance/Batch_6/Linda Tsosie,26961846,Linda Tsosie,female,native
Finance/Batch_7/Brendan Murphy,23955183,Brendan Murphy,male,white
Finance/Batch_7/Jill Murphy,20836112,Jill Murphy,female,white
Finance/Batch_7/Tyrone Washington,31948488,Tyrone Washington,male,black
Finance/Batch_7/Kenya Washington,26530575,Kenya Washington,female,black
Finance/Batch_7/John Kim,28623782,John Kim,male,asian
Finance/Batch_7/Elizabeth Lee,16426777,Elizabeth Lee,female,asian
Finance/Batch_7/David Lopez,14722634,David Lopez,male,hispanic
Finance/Batch_7/Maria Lopez,27018361,Maria Lopez,female,hispanic
Finance/Batch_7/Joseph Nez,34250007,Joseph Nez,male,native
Finance/Batch_7/Elizabeth Nez,28758002,Elizabeth Nez,female,native
Finance/Batch_8/Greg Ryan,91564103,Greg Ryan,male,white
Finance/Batch_8/Meredith Kelly,81677620,Meredith Kelly,female,white
Finance/Batch_8/Tyrone Robinson,14413148,Tyrone Robinson,male,black
Finance/Batch_8/Tanisha Williams,28758002,Tanisha Williams,female,black
Finance/Batch_8/John Tran,28398216,John Tran,male,asian
Finance/Batch_8/Michelle Wang,27018361,Michelle Wang,female,asian
Finance/Batch_8/Luis Lopez,28522529,Luis Lopez,male,hispanic
Finance/Batch_8/Jennifer Lopez,26530575,Jennifer Lopez,female,hispanic
Finance/Batch_8/David Nez,11877150,David Nez,male,native
Finance/Batch_8/Michelle Locklear,15891494,Michelle Locklear,female,native
Finance/Batch_9/Matthew Murray,20836112,Matthew Murray,male,white
Finance/Batch_9/Kristen Walsh,74849878,Kristen Walsh,female,white
Finance/Batch_9/Darnell Williams,34250007,Darnell Williams,male,black
Finance/Batch_9/Lakisha Jackson,76454959,Lakisha Jackson,female,black
Finance/Batch_9/Michael Le,17775916,Michael Le,male,asian
Finance/Batch_9/Maria Kim,28623782,Maria Kim,female,asian
Finance/Batch_9/Jose Sanchez,62850928,Jose Sanchez,male,hispanic
Finance/Batch_9/Martha Perez,28758002,Martha Perez,female,hispanic
Finance/Batch_9/John Chee,78229715,John Chee,male,native
Finance/Batch_9/Lisa Sandoval,84356308,Lisa Sandoval,female,native
Finance/Batch_10/Brett Kelly,26231609,Brett Kelly,male,white
Finance/Batch_10/Jill McCarthy,57088974,Jill McCarthy,female,white
Finance/Batch_10/Leroy Washington,26767199,Leroy Washington,male,black
Finance/Batch_10/Tamika Jackson,19147603,Tamika Jackson,female,black
Finance/Batch_10/Daniel Tran,34250007,Daniel Tran,male,asian
Finance/Batch_10/Emily Chen,28623782,Emily Chen,female,asian
Finance/Batch_10/David Sanchez,84356308,David Sanchez,male,hispanic
Finance/Batch_10/Sandra Sanchez,23955183,Sandra Sanchez,female,hispanic
Finance/Batch_10/David Sandoval,78229715,David Sandoval,male,native
