id,resume_id,name,gender,race
Research_Assistant/Batch_11/Greg O’Brien,30,Greg O’Brien,male,white
Research_Assistant/Batch_11/Laurie Sullivan,15,Laurie Sullivan,female,white
Research_Assistant/Batch_11/Jermaine Washington,47,Jermaine Washington,male,black
Research_Assistant/Batch_11/Lakisha Williams,13,Lakisha Williams,female,black
Research_Assistant/Batch_11/Daniel Li,1,Daniel Li,male,asian
Research_Assistant/Batch_11/Sarah Tran,43,Sarah Tran,female,asian
Research_Assistant/Batch_11/Jesus Martinez,40,Jesus Martinez,male,hispanic
Research_Assistant/Batch_11/Elizabeth Martinez,6,Elizabeth Martinez,female,hispanic
Research_Assistant/Batch_11/Richard Sandoval,27,Richard Sandoval,male,native
Research_Assistant/Batch_11/Linda Benally,4,Linda Benally,female,native
