id,resume_id,name,gender,race
Teacher/Batch_1/Brendan Sullivan,23398843,Brendan Sullivan,male,white
Teacher/Batch_1/Anne Baker,12467531,Anne Baker,female,white
Teacher/Batch_1/Hakim Jones,16270906,Hakim Jones,male,black
Teacher/Batch_1/Tanisha Robinson,22408666,Tanisha Robinson,female,black
Teacher/Batch_1/James Nguyen,49285644,James Nguyen,male,asian
Teacher/Batch_1/Jessica Kim,13855004,Jessica Kim,female,asian
Teacher/Batch_1/David Lopez,74816727,David Lopez,male,hispanic
Teacher/Batch_1/Elizabeth Sanchez,28013287,Elizabeth Sanchez,female,hispanic
Teacher/Batch_1/Joseph Locklear,22510753,Joseph Locklear,male,native
Teacher/Batch_1/Jessica Locklear,15899269,Jessica Locklear,female,native
