id,resume_id,name,gender,race
Teacher/Batch_0/Matthew O’Brien,13296856,Matthew O’Brien,male,white
Teacher/Batch_0/Kristen McCarthy,18001081,Kristen McCarthy,female,white
Teacher/Batch_0/Rasheed Williams,45286020,Rasheed Williams,male,black
Teacher/Batch_0/Latoya Jackson,28063132,Latoya Jackson,female,black
Teacher/Batch_0/John Wang,34689720,John Wang,male,asian
Teacher/Batch_0/Jennifer Lee,29486525,Jennifer Lee,female,asian
Teacher/Batch_0/Luis Perez,12467531,Luis Perez,male,hispanic
Teacher/Batch_0/Ana Gonzalez,29797594,Ana Gonzalez,female,hispanic
Teacher/Batch_0/Christopher Oxendine,22408666,Christopher Oxendine,male,native
Teacher/Batch_0/Jessica Begay,19918523,Jessica Begay,female,native
Teacher/Batch_1/Neil Sullivan,96547039,Neil Sullivan,male,white
Teacher/Batch_1/Laurie Kelly,21773106,Laurie Kelly,female,white
Teacher/Batch_1/Hakim Washington,22408666,Hakim Washington,male,black
Teacher/Batch_1/Ebony Washington,31552617,Ebony Washington,female,black
Teacher/Batch_1/John Lee,49285644,John Lee,male,asian
Teacher/Batch_1/Jennifer Yang,63391085,Jennifer Yang,female,asian
Teacher/Batch_1/Juan Sanchez,45286020,Juan Sanchez,male,hispanic
Teacher/Batch_1/Martha Hernandez,22510753,Martha Hernandez,female,hispanic
Teacher/Batch_1/David Begay,29486525,David Begay,male,native
Teacher/Batch_1/Mary Begay,34745915,Mary Begay,female,native
Teacher/Batch_2/Todd O’Brien,18001081,Todd O’Brien,male,white
Teacher/Batch_2/Allison McCarthy,34465087,Allison McCarthy,female,white
Teacher/Batch_2/Rasheed Williams,49285644,Rasheed Williams,male,black
Teacher/Batch_2/Latonya Jackson,48547319,Latonya Jackson,female,black
Teacher/Batch_2/Michael Kim,22408666,Michael Kim,male,asian
Teacher/Batch_2/Jennifer Tran,19464810,Jennifer Tran,female,asian
Teacher/Batch_2/Luis Ramirez,19918523,Luis Ramirez,male,hispanic
Teacher/Batch_2/Elizabeth Sanchez,29797594,Elizabeth Sanchez,female,hispanic
Teacher/Batch_2/John Nez,23628651,John Nez,male,native
