id,name,race,gender,human_score
Research_Assistant/Batch_0/Greg Baker,Greg Baker,white,male,0.84
Research_Assistant/Batch_0/Laurie Ryan,Laurie Ryan,white,female,0.91
Research_Assistant/Batch_0/Darnell Jones,Darnell Jones,black,male,0.9
Research_Assistant/Batch_0/Latoya Jones,Latoya Jones,black,female,0.94
Research_Assistant/Batch_0/David Wang,David Wang,asian,male,0.9
Research_Assistant/Batch_0/Jennifer Wang,Jennifer Wang,asian,female,0.82
Research_Assistant/Batch_0/Jose Hernandez,Jose Hernandez,hispanic,male,0.84
Research_Assistant/Batch_0/Carmen Rodriguez,Carmen Rodriguez,hispanic,female,0.92
Research_Assistant/Batch_0/Richard Oxendine,Richard Oxendine,native,male,0.84
Research_Assistant/Batch_0/Lisa Yazzie,Lisa Yazzie,native,female,0.89
Research_Assistant/Batch_1/Brett O’Brien,Brett O’Brien,white,male,0.84
Research_Assistant/Batch_1/Emily Kelly,Emily Kelly,white,female,0.91
Research_Assistant/Batch_1/Jamal Jackson,Jamal Jackson,black,male,0.89
Research_Assistant/Batch_1/Ebony Robinson,Ebony Robinson,black,female,0.82
Research_Assistant/Batch_1/Joseph Nguyen,Joseph Nguyen,asian,male,0.86
Research_Assistant/Batch_1/Emily Tran,Emily Tran,asian,female,0.91
Research_Assistant/Batch_1/David Gonzalez,David Gonzalez,hispanic,male,0.86
Research_Assistant/Batch_1/Jennifer Garcia,Jennifer Garcia,hispanic,female,0.94
Research_Assistant/Batch_1/William Nez,William Nez,native,male,0.86
Research_Assistant/Batch_1/Jennifer Tsosie,Jennifer Tsosie,native,female,0.78
Research_Assistant/Batch_2/Greg Sullivan,Greg Sullivan,white,male,0.82
Research_Assistant/Batch_2/Kristen Murphy,Kristen Murphy,white,female,0.81
Research_Assistant/Batch_2/Hakim Robinson,Hakim Robinson,black,male,0.86
Research_Assistant/Batch_2/Tanisha Jones,Tanisha Jones,black,female,0.88
Research_Assistant/Batch_2/James Chen,James Chen,asian,male,0.72
Research_Assistant/Batch_2/Maria Lee,Maria Lee,asian,female,0.9
Research_Assistant/Batch_2/David Ramirez,David Ramirez,hispanic,male,0.94
Research_Assistant/Batch_2/Martha Garcia,Martha Garcia,hispanic,female,0.85
Research_Assistant/Batch_2/Christopher Oxendine,Christopher Oxendine,native,male,0.94
Research_Assistant/Batch_2/Ashley Nez,Ashley Nez,native,female,0.94
Research_Assistant/Batch_3/Matthew Murphy,Matthew Murphy,white,male,0.89
Research_Assistant/Batch_3/Emily McCarthy,Emily McCarthy,white,female,0.72
Research_Assistant/Batch_3/Tremayne Jackson,Tremayne Jackson,black,male,0.9
Research_Assistant/Batch_3/Aisha Williams,Aisha Williams,black,female,0.92
Research_Assistant/Batch_3/David Wang,David Wang,asian,male,0.86
Research_Assistant/Batch_3/Jessica Tran,Jessica Tran,asian,female,0.92
Research_Assistant/Batch_3/Daniel Ramirez,Daniel Ramirez,hispanic,male,0.86
Research_Assistant/Batch_3/Jennifer Rodriguez,Jennifer Rodriguez,hispanic,female,0.9
Research_Assistant/Batch_3/Robert Nez,Robert Nez,native,male,0.9
Research_Assistant/Batch_3/Jessica Sandoval,Jessica Sandoval,native,female,0.89
Research_Assistant/Batch_4/Matthew Sullivan,Matthew Sullivan,white,male,0.91
Research_Assistant/Batch_4/Anne Walsh,Anne Walsh,white,female,0.92
Research_Assistant/Batch_4/Jamal Jones,Jamal Jones,black,male,0.86
Research_Assistant/Batch_4/Latonya Jones,Latonya Jones,black,female,0.88
